Detector, Descriptor, Frame_ID, LIDAR TTC, CAMERA TTC, TTC ERROR
SIFT, SIFT, 5, 12.5319, 15.0488, -2.51688
SIFT, SIFT, 6, 13.8845, 15.2727, -1.38827
SIFT, SIFT, 7, 13.4805, 14.1793, -0.698834
SIFT, SIFT, 8, 14.0734, 13.5377, 0.535749
SIFT, SIFT, 9, 13.0205, 12.8346, 0.185926
SIFT, SIFT, 10, 11.9077, 9.46787, 2.43985
SIFT, SIFT, 11, 11.2423, 10.1978, 1.04459
SIFT, SIFT, 12, 9.69089, 10.8965, -1.20563
SIFT, SIFT, 13, 9.61285, 8.85764, 0.755205
SIFT, SIFT, 14, 9.1458, 9.91032, -0.764522
